55655654grgtrwtweRT5F4TRRT4abcd
123
abcd123
abcd1234
abcdoup203u4
password is: 
password is: 
password is: 
password isabc: 
password isasgfe: 
password isarerqtgqrt44: 
password is: afdeae, strength is 1
password is: adferewrw, strength is 2
password is: 343qgqgbq4, strength is 3
password is: 14343, strength is 1
password is: 5, strength is 1
password is: 2, strength is 1
password is: 454, strength is 1
password is: 443, strength is 1
password is: 44364, strength is 1
password is: 22, strength is 1
password is: 343, strength is 1
password is: fda, strength is 1
password is: fadd12, strength is 2
password is: 453fae, strength is 2
password is: faretatka343, strength is 3
password is: f5erq, strength is 2
password is: tqgrwtwt, strength is 1
password is: ]pq]twtw1, strength is 3
